pose,center,size,color,value,total_dust
"(0.5, 0.875, 0)","(0.5, 0.5, 0)","[0.4, 0.25, 0]",Gray,2788,4022686
"(0.875, 0.5, 0)","(0.5, 0.5, 0)","[0.25, 0.4, 0]",Gray,3225,4022686
"(0.5, 0.125, 0)","(0.5, 0.5, 0)","[0.4, 0.25, 0]",Gray,2572,4022686
"(0.125, 0.5, 0)","(0.5, 0.5, 0)","[0.25, 0.4, 0]",Yellow,17277,4022686
"(0.5, 1.875, 0)","(0.5, 1.5, 0)","[0.4, 0.25, 0]",Yellow,13904,4022686
"(0.875, 1.5, 0)","(0.5, 1.5, 0)","[0.25, 0.4, 0]",Yellow,16689,4022686
"(0.5, 1.125, 0)","(0.5, 1.5, 0)","[0.4, 0.25, 0]",Yellow,16944,4022686
"(0.125, 1.5, 0)","(0.5, 1.5, 0)","[0.25, 0.4, 0]",Gray,2942,4022686
"(0.5, 2.875, 0)","(0.5, 2.5, 0)","[0.4, 0.25, 0]",Red,18779,4022686
"(0.875, 2.5, 0)","(0.5, 2.5, 0)","[0.25, 0.4, 0]",Green,5167,4022686
"(0.5, 2.125, 0)","(0.5, 2.5, 0)","[0.4, 0.25, 0]",Red,18243,4022686
"(0.125, 2.5, 0)","(0.5, 2.5, 0)","[0.25, 0.4, 0]",Yellow,12295,4022686
"(0.5, 3.875, 0)","(0.5, 3.5, 0)","[0.4, 0.25, 0]",Green,7774,4022686
"(0.875, 3.5, 0)","(0.5, 3.5, 0)","[0.25, 0.4, 0]",Green,5099,4022686
"(0.5, 3.125, 0)","(0.5, 3.5, 0)","[0.4, 0.25, 0]",Green,9236,4022686
"(0.125, 3.5, 0)","(0.5, 3.5, 0)","[0.25, 0.4, 0]",Yellow,17579,4022686
"(0.5, 4.875, 0)","(0.5, 4.5, 0)","[0.4, 0.25, 0]",Yellow,10631,4022686
"(0.875, 4.5, 0)","(0.5, 4.5, 0)","[0.25, 0.4, 0]",Yellow,16896,4022686
"(0.5, 4.125, 0)","(0.5, 4.5, 0)","[0.4, 0.25, 0]",Yellow,17863,4022686
"(0.125, 4.5, 0)","(0.5, 4.5, 0)","[0.25, 0.4, 0]",Yellow,17914,4022686
"(0.5, 5.875, 0)","(0.5, 5.5, 0)","[0.4, 0.25, 0]",Yellow,13915,4022686
"(0.875, 5.5, 0)","(0.5, 5.5, 0)","[0.25, 0.4, 0]",Gray,2067,4022686
"(0.5, 5.125, 0)","(0.5, 5.5, 0)","[0.4, 0.25, 0]",Gray,2198,4022686
"(0.125, 5.5, 0)","(0.5, 5.5, 0)","[0.25, 0.4, 0]",Red,18448,4022686
"(0.5, 6.875, 0)","(0.5, 6.5, 0)","[0.4, 0.25, 0]",Yellow,17520,4022686
"(0.875, 6.5, 0)","(0.5, 6.5, 0)","[0.25, 0.4, 0]",Yellow,10891,4022686
"(0.5, 6.125, 0)","(0.5, 6.5, 0)","[0.4, 0.25, 0]",Gray,2248,4022686
"(0.125, 6.5, 0)","(0.5, 6.5, 0)","[0.25, 0.4, 0]",Green,7976,4022686
"(0.5, 7.875, 0)","(0.5, 7.5, 0)","[0.4, 0.25, 0]",Yellow,11365,4022686
"(0.875, 7.5, 0)","(0.5, 7.5, 0)","[0.25, 0.4, 0]",Green,6451,4022686
"(0.5, 7.125, 0)","(0.5, 7.5, 0)","[0.4, 0.25, 0]",Yellow,12380,4022686
"(0.125, 7.5, 0)","(0.5, 7.5, 0)","[0.25, 0.4, 0]",Yellow,14488,4022686
"(0.5, 8.875, 0)","(0.5, 8.5, 0)","[0.4, 0.25, 0]",Gray,1781,4022686
"(0.875, 8.5, 0)","(0.5, 8.5, 0)","[0.25, 0.4, 0]",Yellow,17623,4022686
